ent,entidad,mun,municipio,presidente,partido,periodo
10,Durango,,Topia,Carmen Cesilia Nevarez García,PAN,2019-2022
10,Durango,,Vicente Guerrero,Orlando Gregorio Herrera Aviña,PAN,2019-2022
10,Durango,,Nuevo Ideal,Gerardo Galaviz Martínez,PAN,2019-2022
11,Guanajuato,,Abasolo,Samuel Cruz Chasani,PRI,2018-2021
11,Guanajuato,,Acámbaro,Alejandro Tirado Zuñiga,MORENA,2018-2021
11,Guanajuato,,Apaseo el Alto,María del Carmen Ortiz Terrazas,MORENA,2018-2021
11,Guanajuato,,Apaseo el Grande,Moisés Guerrero Lara,PVEM,2018-2021
11,Guanajuato,,Atarjea,María Elena Ramos Loyola,PAN,2018-2021
11,Guanajuato,,Celaya,Elvira Paniagua Rodríguez,PAN,2018-2021
11,Guanajuato,,Comonfort,José Carlos Nieto Juárez,MORENA,2018-2021
11,Guanajuato,,Coroneo,Araceli Pérez Granados,PAN,2018-2021
11,Guanajuato,,Cortázar,Ariel Enrique Corona Rodríguez,PAN,2018-2021
11,Guanajuato,,Cuerámaro,Ana Rosa Bueno Macías,PAN,2018-2021
11,Guanajuato,,Doctor Mora,Mario Luis Arvizu Méndez,PAN,2018-2021
11,Guanajuato,,Dolores Hidalgo,Miguel Ángel Rayas Ortiz,PRI,2018-2021
11,Guanajuato,,Guanajuato,Mario Alejandro Navarro Saldaña,PAN,2018-2021
11,Guanajuato,,Huanímaro,Armando Solís Pantoja,PAN,2018-2021
11,Guanajuato,,Irapuato,José Ricardo Ortiz Gutiérrez,PAN,2018-2021
11,Guanajuato,,Jaral del Progreso,Josée Alberto Vargas Franco,PRI,2018-2021
11,Guanajuato,,Jerécuaro,Luis Alberto Mondragón Vega,PRI,2018-2021
11,Guanajuato,,León,Héctor Germán René López Santillana,PAN,2018-2021
11,Guanajuato,,Manuel Doblado,Gustavo Adolfo Alfaro Reyes,PRI,2018-2021
11,Guanajuato,,Moroleón,Jorge Ortiz Ortega,PRD,2018-2021
11,Guanajuato,,Ocampo,Ma. Guadalupe Rodríguez Martínez,PAN,2018-2021
11,Guanajuato,,Pénjamo,Juan José García Lopéz,PAN,2018-2021
11,Guanajuato,,Pueblo Nuevo,Larisa Solórzano Villanueva,PRI,2018-2021
11,Guanajuato,,Purísima del Rincón,Marco Antonio Padilla Goméz,PAN,2018-2021
11,Guanajuato,,Romita,Oswaldo Ponce Granados,PRI,2018-2021
11,Guanajuato,,Salamanca,María Beatriz Hernández Cruz,MORENA,2018-2021
11,Guanajuato,,Salvatierra,Karla Alejandra Lanuza Hernández,PAN,2018-2021
11,Guanajuato,,San Diego de la Unión,Diego Alberto Leyva Merino,PAN,2018-2021
11,Guanajuato,,San Felipe,Feredico Ezequiel Velázquez Juárez,PANAL,2018-2021
11,Guanajuato,,San Francisco del Rincón,Javier Casillas Saldaña,PRI,2018-2021
11,Guanajuato,,San José Iturbide,Gerardo Martín Zuñiga Soto,MORENA,2018-2021
11,Guanajuato,,San Luis de la Paz,Luis Gerardo Sánchez Sánchez,PRI,2018-2021
11,Guanajuato,,San Miguel de Allende,Luis Alberto Villarreal García,PAN,2018-2021
11,Guanajuato,,Santa Catarina,Sonia García Toscano,PAN,2018-2021
11,Guanajuato,,Santa Cruz de Juventino Rosas,Serafín Prieto Álvarez,PRD,2018-2021
11,Guanajuato,,Santiago Maravatío,Fernando Rosas Cardoso,PRI,2018-2021
11,Guanajuato,,Silao de la Victoria,José Antonio Trejo Valdepeña,PAN,2018-2021
11,Guanajuato,,Tarandacuao,María Juana Campos Alegría,PAN,2018-2021
11,Guanajuato,,Tarimoro,Enrique Arreola Mandujano,PAN,2018-2021
11,Guanajuato,,Tierra Blanca,Pedro Pueblito Hernández García,PAN,2018-2021
11,Guanajuato,,Uriangato,Anastasio Rosiles Peréz,PRI,2018-2021
11,Guanajuato,,Valle de Santiago,Alejandro Alanís Chávez,PAN,2018-2021
11,Guanajuato,,Victoria,Berenice Montes Estrada,PAN,2018-2021
11,Guanajuato,,Villagrán,Juan Lara Mendoza,PANAL,2018-2021
11,Guanajuato,,Xichú,María Guadalupe Ramírez Esquivel,PAN,2018-2021
11,Guanajuato,,Yuriria,Salomón Carmona Ayala,PAN,2018-2021
12,Guerrero,,Acapulco,Adela Román Ocampo,MORENA,2018-2021
12,Guerrero,,Ahuacuotzingo,Glorinda Casarrubias Nava,PRD,2018-2021
12,Guerrero,,Ajuchitlán del Progreso,Víctor Hugo Vega Hernández,PRI,2018-2021
12,Guerrero,,Alcozauca,Armando Sánchez de Jesús,PRI,2018-2021
12,Guerrero,,Alpoyeca,Guadalupe Maibelin Luna Ayala,PRI,2018-2021
12,Guerrero,,Apaxtla,David Manjarrez Miranda,MC,2018-2021
12,Guerrero,,Arcelia,Adolfo Torales Catalán,PRI,2018-2021
12,Guerrero,,Atenango del Río,Andrés Guevara Cárdenas,PT,2018-2021
12,Guerrero,,Atlamajalcingo del Monte,Javier Hurtado Catalán,MORENA,2018-2021
12,Guerrero,,Atlixtac,Marcelino Ruíz Esteban,PRD,2018-2021
12,Guerrero,,Atoyac de Álvarez,Yanelly Hernández Martínez,PRD,2018-2021
12,Guerrero,,Azoyu,José Efrén López Cortés,MORENA,2018-2021
12,Guerrero,,Benito Juárez,Juan Carlos Aguilar Sandoval,PVEM,2018-2021
12,Guerrero,,Buenavista de Cuéllar,Ana Lilia Botello Figueroa,MORENA,2018-2021
12,Guerrero,,Coahuayutla,Rafael Martínez Ramírez,MORENA,2018-2021
12,Guerrero,,Cocula,Carlos Alberto Duarte Bahena,PANAL,2018-2021
12,Guerrero,,Copala,Guadalupe García Villalva,PRD,2018-2021
12,Guerrero,,Copalillo,Julián Castro Santos,PAN,2018-2021
12,Guerrero,,Copanatoyac,Jorge Aguilar Vázquez,PRI,2018-2021
12,Guerrero,,Coyuca de Benítez,Alberto de los Santos Díaz,PES,2018-2021
12,Guerrero,,Coyuca de Catalán,Eusebio Echeverría Tabares,PRD,2018-2021
12,Guerrero,,Cuajinicuilapa,Oscar Alejandro Marín Mendoza,MORENA,2018-2021
12,Guerrero,,Cualac,Eugenio Cornelio García Meza,PT,2018-2021
12,Guerrero,,Cuautepec,Bonerje Arredondo Carmona,PVEM,2018-2021
12,Guerrero,,Cuetzala,Elizabeth Mendoza Damacio,MORENA,2018-2021
12,Guerrero,,Cutzamala de Pinzón,Timoteo Arce Solís,PRI,2018-2021
12,Guerrero,,Chilapa de Álvarez,Jesús Parra García,PRI,2018-2021
12,Guerrero,,Eduardo Neri,Natividad López González,PRD,2018-2021
12,Guerrero,,Chilpancingo,Antonio Gaspar Beltran,PRD,2018-2021
12,Guerrero,,Florencio Villarreal,Wilberth Sait García Trujillo,PRD,2018-2021
12,Guerrero,,General Canuto A. Neri,Isaac Celis Ríos,MC,2018-2021
12,Guerrero,,General Heliodoro Castillo,Serafín Hernández Landa,PRI,2018-2021
12,Guerrero,,Huamuxtitlan,Elpidio Nava Rodríguez,MC,2018-2021
12,Guerrero,,Huitzuco,José Luis Ávila López,PRI,2018-2021
12,Guerrero,,Iguala,Antonio Jaimes Herrera,MORENA,2018-2021
12,Guerrero,,Igualapa,Apolonio Alvare Montes,PVEM,2018-2021
12,Guerrero,,Ixcateopan,Naucelia Castillo Bautista,PRD,2018-2021
12,Guerrero,,Zihuatanejo,Jorge Sánchez Allec,PVEM,2018-2021
12,Guerrero,,Tierra Colorada,Delfino Terrones Ramírez,MORENA,2018-2021
12,Guerrero,,Leonardo Bravo,Ismael Castulo Guzmán,PRI,2018-2021
12,Guerrero,,Malinaltepec,Abel Bruno Arriaga,MORENA,2018-2021
12,Guerrero,,Apango,Jenny González Ocampo,PRD,2018-2021
12,Guerrero,,Metlatonoc,Zeferino Villanueva Galindo,MORENA,2018-2021
12,Guerrero,,Mochitlan,Jhobanny Jiménez Mendoza,PVEM,2018-2021
12,Guerrero,,Olinala,José Juan Herrejon Ortiz,PRI,2018-2021
12,Guerrero,,Ometepec,Efren Adame Montalvan,PRI,2018-2021
12,Guerrero,,Ixcapuzalco,Olivia Azucena López Rogel,MC,2018-2021
12,Guerrero,,Petatlan,Esteban Cárdenas Santana,PRD,2018-2021
12,Guerrero,,Pilcaya,Sandra Velázquez Lara,PAN,2018-2021
12,Guerrero,,Ciudad Altamirano,Reynel Rodríguez Muñoz,PRI,2018-2021
12,Guerrero,,Quechultenango,Crisoforo Castro Castro,PRD,2018-2021
12,Guerrero,,San Luis Acatlan,Agustín Ricardo Morales,PRI,2018-2021
12,Guerrero,,San Marcos,Tomás Hernández Palma,PRD,2018-2021
12,Guerrero,,San Miguel Totolapan,Juan Carlos Molina Villanueva,PRD,2018-2021
12,Guerrero,,Taxco,Marcos Efrén Parra Gómez,PAN,2018-2021
12,Guerrero,,Tecoanapa,Henos Roque Ramírez,MORENA,2018-2021
12,Guerrero,,Técpan,Jesús Yasir Deloya Díaz,PRD,2018-2021
12,Guerrero,,Teloloapan,Efren Ángel Romero Sotelo,PRD,2018-2021
12,Guerrero,,Tepecoacuilco,Ignacio Ocampo Zavaleta,PRI,2018-2021
12,Guerrero,,Tetipac,Vicente Jaimes Zagal,PAN,2018-2021
12,Guerrero,,Tixtla,Erika Alcaraz Sosa,PRD,2018-2021
12,Guerrero,,Tlacoachistlahuaca,Bacilio Florentino Díaz,Partido del Pueblo de Guerrero,2018-2021
12,Guerrero,,Tlacoapa,Alfredo Cantu Faustino,PRI,2018-2021
12,Guerrero,,Tlalchapa,Martín Mora Aguirre,PRD,2018-2021
12,Guerrero,,Tlalixtaquilla,Elpidio Marcos López Hernández,PRI,2018-2021
12,Guerrero,,Tlapa,Dionicio Merced Pichardo García,MORENA,2018-2021
12,Guerrero,,Tlapehuala,Anabel Balbuena Lara,PRD,2018-2021
12,Guerrero,,La Unión,Crescencio Reyes Torres,PRD,2018-2021
12,Guerrero,,Xalpatlahuac,René Rosendo Larios Rosa,PRI,2018-2021
12,Guerrero,,Xochihuehuetlan,Carlos Arriaga Ramos,PT,2018-2021
12,Guerrero,,Xochistlahuaca,Daniel Sánchez Néstor,MORENA,2018-2021
12,Guerrero,,Zapotitlan Tablas,Joaquín Rosendo Luciano,PT,2018-2021
12,Guerrero,,Zirandaro,Gregorio Portillo Mendoza,MORENA,2018-2021
12,Guerrero,,Zitlala,Rogelio Ramos Tecorral,MC,2018-2021
12,Guerrero,,Acatepec,Ramiro Salvador Hernández,PRD,2018-2021
12,Guerrero,,Hueycantenango,Orquidia Hernández Mendoza,PRI,2018-2021
12,Guerrero,,Iliatenco,Ruperta Nicolás Hilario,MC,2018-2021
12,Guerrero,,Cochoapa el Grande,Rosa Lorenzo de la Cruz,PRD,2018-2021
12,Guerrero,,Marquelia,Javier Adame Montalvaan,PT,2018-2021
12,Guerrero,,Juchitán,Miguel Antonio Moctezuma Flores,PVEM,2018-2021
13,Hidalgo,,Acatlán,Benito Olvera Muñoz,PRI-PVEM,2016-2020
13,Hidalgo,,Acaxochitlán,Rocío Jaqueline Sosa Jiménez,PRI-PVEM,2016-2020
13,Hidalgo,,Actopan,Héctor Cruz Olguín,PES,2016-2020
13,Hidalgo,,Agua Blanca de Iturbide,Faustino Trejo Gutiérrez,PAN,2016-2020
13,Hidalgo,,Ajacuba,Salvador Pérez Gómez,PVEM,2016-2020
13,Hidalgo,,Alfajayucan,Toribio Ramírez Martínez,PVEM,2016-2020
13,Hidalgo,,Almoloya,Víctor Manuel Hernández Paredes,PRI,2016-2020
13,Hidalgo,,El Arenal,María Beatriz Peña Reséndiz,PRI,2016-2020
13,Hidalgo,,Apan,María Antonieta de los Ángeles Anaya Ortega,PAN,2016-2020
13,Hidalgo,,Atitalaquia,María Antonieta Herrera Jiménez,PAN,2016-2020
13,Hidalgo,,Atlapexco,María Teresa Flores Nochebuena,PRI,2016-2020
13,Hidalgo,,Atotonilco el Grande,José Luis Baños Cruz,PRI-PVEM,2016-2020
13,Hidalgo,,Atotonilco de Tula,Raúl López Ramírez,MORENA,2016-2020
13,Hidalgo,,Calnali,Miguel Jiménez Espinoza,PES,2016-2020
13,Hidalgo,,Cardonal,Jorge Penca Zongua,PRI-PVEM,2016-2020
13,Hidalgo,,Cuautepec de Hinojosa,Haydee García Acosta,PRI,2016-2020
13,Hidalgo,,Chapantongo,Sotero Santiago Santiago,PVEM,2016-2020
13,Hidalgo,,Chapulhuacán,Narciso Villanueva Falcón,PRD,2016-2020
13,Hidalgo,,Chilcuautla,Genaro Trejo Martínez,MORENA,2016-2020
13,Hidalgo,,Eloxochitlán,Héctor Vadillo Severiano,PVEM,2016-2020
13,Hidalgo,,Emiliano Zapata,Antonio Espinoza Espinoza,MC,2016-2020
13,Hidalgo,,Epazoyucan,Raúl Armando Padilla Islas,PAN,2016-2020
13,Hidalgo,,Francisco I. Madero,Lucas Pablo Guzman Isidro,PRD,2016-2020
13,Hidalgo,,Huasca de Ocampo,Marcelo Soto Hernández,MORENA,2016-2020
13,Hidalgo,,Huautla,Martha Hernández Velasco,PRI-PVEM,2016-2020
13,Hidalgo,,Huazalingo,Mily Martínez Galindo,PRD,2016-2020
13,Hidalgo,,Huehuetla,Efraín García García,PRI,2016-2020
13,Hidalgo,,Huejutla de Reyes,Raúl Vadillo Ramírez,PES,2016-2020
13,Hidalgo,,Huichapan,Humberto Alejandro Lugo Guerrero,PRI,2016-2020
13,Hidalgo,,Ixmiquilpan,Pascual Charrez Pedraza,PAN,2016-2020
13,Hidalgo,,Jacala de Ledezma,Manuel Rivera Pabello,PRD,2016-2020
13,Hidalgo,,Jaltocán,Guillerno Amador Lara,PRD,2016-2020
13,Hidalgo,,Juárez Hidalgo,Jazzmin Montaño Dorantes,PRD,2016-2020
13,Hidalgo,,Lolotla,Jorge Bustos Bautista,PRI,2016-2020
13,Hidalgo,,Metepec,Alejandro Amador Franco,PRI-PVEM,2016-2020
13,Hidalgo,,San Agustín Metzquititlán,Aleida Ordaz Vargas,PRI-PVEM,2016-2020
13,Hidalgo,,Metztitlán,Gabino López Hernández,PRD,2016-2020
13,Hidalgo,,Mineral del Chico,Fernando Baltazar Monzalvo,PRD,2016-2020
13,Hidalgo,,Mineral del Monte,Jaime Soto Jarillo,PANAL,2016-2020
13,Hidalgo,,La Misión,Cirila Martínez Garay,PRD,2016-2020
13,Hidalgo,,Mixquiahuala de Juárez,Humberto Pacheco Miralrio,PT,2016-2020
13,Hidalgo,,Molango de Escamilla,Raúl Lozano Cano,PES,2016-2020
13,Hidalgo,,Nicolás Flores,Nicolás González Elizalde,PAN,2016-2020
13,Hidalgo,,Nopala de Villagrán,David Padilla Guerrero,PVEM,2016-2020
13,Hidalgo,,Omitlán de Juárez,Ulises Hernández Vázquez,PRI,2016-2020
13,Hidalgo,,San Felipe Orizatlán,Raúl Valdivia Castillo,PAN,2016-2020
13,Hidalgo,,Pacula,Esteban Espino,MORENA,2016-2020
13,Hidalgo,,Pachuca de Soto,Yolanda Tellería Beltrán,PAN,2016-2020
13,Hidalgo,,Pisaflores,Zoyla Nochebuena Rivera,PRI,2016-2020
13,Hidalgo,,Progreso de Obregón,Raúl Meneses Rodríguez,PRI,2016-2020
13,Hidalgo,,Mineral de la Reforma,Raúl Camacho Baños,PAN,2016-2020
13,Hidalgo,,San Agustín Tlaxiaca,Alma Dalila López Santiago,PRI-PVEM,2016-2020
13,Hidalgo,,San Bartolo Tutotepec,Francisco Uriel Islas Trejo,PRI-PVEM,2016-2020
13,Hidalgo,,San Salvador,América Juárez García,PRI-PVEM,2016-2020
13,Hidalgo,,Santiago de Anaya,Jorge Aldana Camargo,PRI,2016-2020
13,Hidalgo,,Santiago Tulantepec de Lugo Guerrero,Paola Jazmin Domínguez Olmedo,PRI,2016-2020
13,Hidalgo,,Singuilucan,Mario Hugo Olvera Morales,PRI-PVEM,2016-2020
13,Hidalgo,,Tasquillo,Miriám Ramírez Mendoza,PRD,2016-2020
13,Hidalgo,,Tecozautla,Víctor Javier Cruz Soto,PAN,2016-2020
13,Hidalgo,,Tenango de Doria,Aldo Octavio Molina Santos,PRI-PVEM,2016-2020
13,Hidalgo,,Tepeapulco,José Alfonso Delgadillo López,PRI,2016-2020
13,Hidalgo,,Tepehuacán de Guerrero,Rosendo Hernández Manilla,PRI,2016-2020
13,Hidalgo,,Tepeji del Río de Ocampo,Moises Ramírez Tapia,PANAL,2016-2020
13,Hidalgo,,Tepetitlán,Rodrigo Castillo Martínez,PAN,2016-2020
13,Hidalgo,,Tetepango,Bernardino Hernández Rodríguez,PT,2016-2020
13,Hidalgo,,Villa de Tezontepec,Luis Castañeda Muñoz,MORENA,2016-2020
13,Hidalgo,,Tezontepec de Aldama,Pedro Forras Pérez,MC,2016-2020
13,Hidalgo,,Tianguistengo,Febronio Rodríguez Villegas,PES,2016-2020
13,Hidalgo,,Tizayuca,Gabriel García Rojas,PRI,2016-2020
13,Hidalgo,,Tlahuelilpan,Juan Pedro Cruz Frías,MORENA,2016-2020
13,Hidalgo,,Tlahuiltepa,Reginaldo González Viveros,PANAL,2016-2020
13,Hidalgo,,Tlanalapa,Francisco Javier Hernández Cortez,Independiente,2016-2020
13,Hidalgo,,Tlanchinol,Pablo Salazar Hernández,PAN,2016-2020
13,Hidalgo,,Tlaxcoapan,Jovani Miguel León Cruz,PAN,2016-2020
13,Hidalgo,,Tolcayuca,Humberto Merida de la Cruz,PANAL,2016-2020
13,Hidalgo,,Tula de Allende,Ismael Gadoth Tapia Benítez,PRI-PVEM,2016-2020
13,Hidalgo,,Tulancingo de Bravo,Fernando Pérez Rodríguez,PRI-PVEM,2016-2020
13,Hidalgo,,Xochiatipan,Manolo Gutiérrez Hernández,PAN,2016-2020
13,Hidalgo,,Xochicoatlán,Nabor Pérez Juárez,PT,2016-2020
13,Hidalgo,,Yahualica,Eustorgio Hernández Morales,PES,2016-2020
13,Hidalgo,,Zacualtipán de Ángeles,Pedro Velázquez Acosta,MC,2016-2020
13,Hidalgo,,Zapotlán de Juárez,Erick Edgardo Islas Cruz,MORENA,2016-2020
13,Hidalgo,,Zempoala,Héctor Meneses Arrieta,PRI,2016-2020
13,Hidalgo,,Zimapán,Erick Marte Rivera Villanueva,PAN,2016-2020
14,Jalisco,,Acatic,Marco Tulio Moya Díaz,PAN,2018-2021
14,Jalisco,,Acatlán de Juárez,Gerardo Uvaldo Ochoa Alvarado,MC,2018-2021
14,Jalisco,,Ahualulco de Mercado,José Manuel Medrano Barba,MC,2018-2021
14,Jalisco,,Amacueca,Luz Elvira Durán Valenzuela,MC,2018-2021
14,Jalisco,,Amatitán,Gildardo Partida Melendrez,PANAL,2018-2021
14,Jalisco,,Ameca,Juan Valentín Serrano Jiménez,MC,2018-2021
14,Jalisco,,San Juanito de Escobedo,María Guadalupe Durán Nuño,MC,2018-2021
14,Jalisco,,Arandas,Ana Isabel Bañuelos Ramírez,MC,2018-2021
14,Jalisco,,El Arenal,Jorge Abel Hermosillo Pulido,MC,2018-2021
14,Jalisco,,Atemajac de Brizuela,J. Jesús Monroy Moreno,PANAL,2018-2021
14,Jalisco,,Atengo,Nancy Maldonado Gómez,PAN,2018-2021
14,Jalisco,,Atenguillo,Mayra Isela Guitrón Contreras,MC,2018-2021
14,Jalisco,,Atotonilco el Alto,Cruz Carrillo Solís,MC,2018-2021
14,Jalisco,,Atoyac,Sonia Guadalupe Cabrera Ramírez,PRI,2018-2021
14,Jalisco,,Autlán de Navarro,Miguel Ángel Íñiguez Brambila,MORENA,2018-2021
14,Jalisco,,Ayotlán,Gabriel Vásquez Andrade,MORENA,2018-2021
14,Jalisco,,Ayutla,José Ángel Prudencio Vargas,MC,2018-2021
14,Jalisco,,La Barca,Enrique Rojas Román,MORENA,2018-2021
14,Jalisco,,Bolaños,Manuel Villalobos Álvarez,PAN,2018-2021
14,Jalisco,,Cabo Corrientes,Prisciliano Ramírez Gordian,PRI,2018-2021
14,Jalisco,,Casimiro Castillo,Alfredo Sevilla Cuevas,MC,2018-2021
14,Jalisco,,Cihuatlán,Fernando Martínez Guerrero,PRD,2018-2021
14,Jalisco,,Zapotlán el Grande,J. Jesús Guerrero Zúñiga,MC,2018-2021
14,Jalisco,,San Gabriel,Bonifacio Villalvazo Larios,PRD,2018-2021
14,Jalisco,,Cocula,Miguel de Jesús Esparza Partida,MORENA,2018-2021
14,Jalisco,,Colotlán,Ricardo Iván González García,PAN,2018-2021
14,Jalisco,,Concepción de Buenos Aires,José Guadalupe Buenrostro Martínez,PVEM,2018-2021
14,Jalisco,,Cuautitlán de García Barragán,Gerardo Palacios Campos,PAN,2018-2021
14,Jalisco,,Cuautla,Juan Manuel Estrella Jiménez,PAN,2018-2021
14,Jalisco,,Cuquío,Adrián Cornelio González Fernández,MORENA,2018-2021
14,Jalisco,,Chapala,Moisés Alejandro Anaya Aguilar,MC,2018-2021
14,Jalisco,,Chimaltitán,Vicenta Torres Torres,PRI,2018-2021
14,Jalisco,,Chiquilistlán,María Pérez Enríquez,PRI,2018-2021
14,Jalisco,,Degollado,Antonio Medina Fuentes,PRI,2018-2021
14,Jalisco,,Ejutla,Raúl García Ramírez,PRD,2018-2021
14,Jalisco,,Encarnación de Díaz,Felipe de Jesús Romo Cuéllar,PAN,2018-2021
14,Jalisco,,Etzatlán,Mario Camarena González Rubio,MC,2018-2021
14,Jalisco,,Gómez Farías,Ariana Barajas Gálvez,PRI,2018-2021
14,Jalisco,,El Grullo,Mónica Marín Buenrostro,PAN,2018-2021
14,Jalisco,,Guachinango,Domingo Véliz Peña,PVEM,2018-2021
14,Jalisco,,Guadalajara,Ismael del Toro Castro,MC,2018-2021
14,Jalisco,,Hostotipaquillo,Iliana Cristina Esparza Ríos,PAN,2018-2021
14,Jalisco,,Huejúcar,Arcelia Díaz Márquez,MC,2018-2021
14,Jalisco,,Huejuquilla el Alto,José Acuña Ruíz,PAN,2018-2021
14,Jalisco,,La Huerta,Adán Israel Mendoza Rodríguez,MC,2018-2021
14,Jalisco,,Ixtlahuacán de los Membrillos,Eduardo Cervantes Aguilar,PRI,2018-2021
14,Jalisco,,Ixtlahuacán del Río,Pedro Haro Ocampo,MC,2018-2021
14,Jalisco,,Jalostotitlán,José de Jesús González Gutiérrez,PAN,2018-2021
14,Jalisco,,Jamay,Juan Luis Aguilar García,PRI,2018-2021
14,Jalisco,,Jesús María,Ricardo Iván González García,PAN,2018-2021
14,Jalisco,,Jilotlán de los Dolores,Ydalia Chávez Contreras,MC,2018-2021
14,Jalisco,,Jocotepec,José Miguel Gómez López,MC,2018-2021
14,Jalisco,,Juanacatlán,Adriana Cortés González,MC,2018-2021
14,Jalisco,,Juchitlán,Ricardo Rangel Fletes,PAN,2018-2021
14,Jalisco,,Lagos de Moreno,Tecutli José Guadalupe Gómez Villalobos,MC,2018-2021
14,Jalisco,,El Limón,David Míchel Camarena,MORENA,2018-2021
14,Jalisco,,Magdalena,Fabiola Pulido Franco,PRI,2018-2021
14,Jalisco,,Santa María del Oro,Guadalupe Sandoval Farías,PRI,2018-2021
14,Jalisco,,La Manzanilla de la Paz,Carlos Andrés López Barbosa,PVEM,2018-2021
14,Jalisco,,Mascota,Sara Eugenia Castillón Ochoa,PRI,2018-2021
14,Jalisco,,Mazamitla,Antonio de Jesús Ramírez Ramos,PVEM,2018-2021
14,Jalisco,,Mexticacán,Nadia Noemí Ortiz Pérez,PAN,2018-2021
14,Jalisco,,Mezquitic,César Rolando de la Torre Martínez,PAN,2018-2021
14,Jalisco,,Mixtlán,María Magdalena Moreno Ángel,MC,2018-2021
14,Jalisco,,Ocotlán,Paulo Gabriel Hernández Hernández,MC,2018-2021
14,Jalisco,,Ojuelos de Jalisco,Marco Antonio Jasso Romo,MC,2018-2021
14,Jalisco,,Pihuamo,Juan Alcaráz Virgen,MORENA,2018-2021
14,Jalisco,,Poncitlán,Luis Miguel Núñez López,MC,2018-2021
14,Jalisco,,Puerto Vallarta,Arturo Dávalos Peña,MC,2018-2021
14,Jalisco,,Villa Purificación,Moisés Brambila Pelayo,MC,2018-2021
14,Jalisco,,Quitupan,Rogelio Contreras Godoy,MC,2018-2021
14,Jalisco,,El Salto,Ricardo Zaid Santillán Cortés,MC,2018-2021
14,Jalisco,,San Cristóbal de la Barranca,María Luz Elena Guzmán Cardona,PAN,2018-2021
14,Jalisco,,San Diego de Alejandría,Alma Lizzette del Refugio Ángel Cerrillo,PAN,2018-2021
14,Jalisco,,San Juan de los Lagos,Jesús Ubaldo Medina Briseño,PANAL,2018-2021
14,Jalisco,,San Martín de Bolaños,Evangelina Pérez Villarreal,MC,2018-2021
14,Jalisco,,San Julián,Efraín Villegas Aceves,MC,2018-2021
14,Jalisco,,San Marcos,David Sánchez Domínguez,MC,2018-2021
14,Jalisco,,San Martín Hidalgo,Moisés Rodríguez Camacho,MC,2018-2021
14,Jalisco,,San Miguel el Alto,Alonso de Jesús Vázquez Jiménez,PAN,2018-2021
14,Jalisco,,San Sebastián del Oeste,Luis Alberto Arredondo López,PVEM,2018-2021
14,Jalisco,,Santa María de los Ángeles,César Fortino Márquez Robles,PAN,2018-2021
14,Jalisco,,Sayula,Oscar Daniel Carrión Calvario,Independiente,2018-2021
14,Jalisco,,Tala,Enrique Gabriel Buenrostro Ahued,MC,2018-2021
14,Jalisco,,Talpa de Allende,Martín Eduardo Guzmán Peña,PRI,2018-2021
14,Jalisco,,Tamazula de Gordiano,Francisco Javier Álvarez Chávez,PRD,2018-2021
14,Jalisco,,Tapalpa,Luz Elvira Manzano Ochoa,PRD,2018-2021
14,Jalisco,,Tecalitlán,Martín Larios García,MC,2018-2021
14,Jalisco,,Tecolotlán,Ricardo Ramírez Ruelas,PRI,2018-2021
14,Jalisco,,Techaluta de Montenegro,Sergio Velázquez Enríquez,MC,2018-2021
14,Jalisco,,Tenamaxtlán,Yolanda Meza Zepeda,PAN,2018-2021
14,Jalisco,,Teocaltiche,Abel Hernández Márquez,PAN,2018-2021
14,Jalisco,,Teocuitatlán de Corona,Carlos Eduardo Hernández Flores,PAN,2018-2021
14,Jalisco,,Tepatitlán de Morelos,María Elena de Anda Gutiérrez,MC,2018-2021
14,Jalisco,,Tequila,José Alfonso Magallanes Rubio,PAN,2018-2021
14,Jalisco,,Teuchitlán,José Alejandro Arreola Soto,MORENA,2018-2021
14,Jalisco,,Tizapán el Alto,José Santiago Coronado Valencia,PRI,2018-2021
14,Jalisco,,Tlajomulco de Zúñiga,Salvador Zamora Zamora,MC,2018-2021
14,Jalisco,,San Pedro Tlaquepaque,María Elena Limón García,MC,2018-2021
14,Jalisco,,Tolimán,Diego Armando Puga Enciso,PRI,2018-2021
14,Jalisco,,Tomatlán,Jorge Luis Tello García,MC,2018-2021
14,Jalisco,,Tonalá,Juan Antonio González Mora,MC,2018-2021
14,Jalisco,,Tonaya,Juan Esteban Míchel Terríquez,PRI,2018-2021
14,Jalisco,,Tonila,José Martín Hernández Álvarez,MC,2018-2021
14,Jalisco,,Totatiche,Humberto Alonso Gómez Medina,PAN,2018-2021
14,Jalisco,,Tototlán,Sergio Quezada Mendoza,MC,2018-2021
14,Jalisco,,Tuxcacuesco,José Guadalupe Fletes Araiza,PRI,2018-2021
14,Jalisco,,Tuxcueca,Reyes Mancilla Aceves,PRI,2018-2021
14,Jalisco,,Tuxpan,Edwin Romero Cortés,PANAL,2018-2021
14,Jalisco,,Unión de San Antonio,Julio César Hurtado Luna,PAN,2018-2021
14,Jalisco,,Unión de Tula,Gala del Carmen Lepe Galván,MC,2018-2021
14,Jalisco,,Valle de Guadalupe,María del Refugio Barba Gutiérrez,PAN,2018-2021
14,Jalisco,,Valle de Juárez,José Manuel Chávez Rodríguez,PAN,2018-2021
14,Jalisco,,Villa Corona,Luis René Ruelas Ortega,Independiente,2018-2021
14,Jalisco,,Villa Guerrero,Aldo Gamboa Gutiérrez,PAN,2018-2021
