ent,entidad,mun,municipio,presidente,partido,periodo
7,Chiapas,72,Reforma,Herminio Valdez Castillo,PVEM,2018-2021
7,Chiapas,73,Las Rosas,Rodolfo Rigobertno Robles Díaz,Chiapas Unido,2018-2021
7,Chiapas,74,Sabanilla,Carlos Cleber González Cabello,Chiapas Unido,2018-2021
7,Chiapas,75,Salto de Agua,Román Mena de la Cruz,Chiapas Unido,2018-2021
7,Chiapas,76,San Cristóbal de las Casas,Jerónima Toledo Villalobos,MORENA,2018-2021
7,Chiapas,77,San Fernando,Juan Antonio Castillejos Castellanos,PVEM,2018-2021
7,Chiapas,78,San Juan Cancuc,José López López,PRI,2018-2021
7,Chiapas,79,San Lucas,Guadalupe Guzmán Villarreal,Chiapas Unido,2018-2021
7,Chiapas,80,Siltepec,Pedro Damián González Arriaga,PRI,2018-2021
7,Chiapas,81,Simojovel,Viridiana Hernández Sánchez,PVEM,2018-2021
7,Chiapas,82,Sitalá,Anita Velasco Santiz,Chiapas Unido,2018-2021
7,Chiapas,83,Socoltenango,Javier Mazariegos Guillén,PANAL,2018-2021
7,Chiapas,84,Solosuchiapa,Fernando Aparicio Trejo,PVEM,2018-2021
7,Chiapas,85,Soyaló,Samuel Ortiz López,Independiente,2018-2021
7,Chiapas,86,Suchiapa,Alexis Nucamendi Gómez,Chiapas Unido,2018-2021
7,Chiapas,87,Suchiate,María Eloína Hernández Aguilar,Chiapas Unido,2018-2021
7,Chiapas,88,Sunuapa,Eli Camas Castellanos,PAN,2018-2021
7,Chiapas,89,Tapachula,Oscar Gurría Penagos,MORENA,2018-2021
7,Chiapas,90,Tapalapa,Graciela Vázquez Vázquez,PRI,2018-2021
7,Chiapas,91,Tapilula,David García Urbina,Chiapas Unido,2018-2021
7,Chiapas,92,Tecpatán,Patricia Haydee Guzmán Arvizu,PRI,2018-2021
7,Chiapas,93,Tenejapa,Alfonso Intzin Girón,PVEM,2018-2021
7,Chiapas,94,Teopisca,Abel Tovilla Carpio,Chiapas Unido,2018-2021
7,Chiapas,95,Tila,Limber Gregoio Gutiérrez Gómez,PVEM,2018-2021
7,Chiapas,96,Tonalá,Manuel de Jesús Narcia Coutiño,PVEM,2018-2021
7,Chiapas,97,Totolapa,Johoni Leiver Fonseca López,PRD,2018-2021
7,Chiapas,98,La Trinitaria,Ervin Leonel Pérez Alfaro,PRI,2018-2021
7,Chiapas,99,Tumbalá,Porfirio Ramos Torres,Chiapas Unido,2018-2021
7,Chiapas,100,Tuxtla Chico,Deysi Lisbeth González Aguilar,MORENA,2018-2021
7,Chiapas,101,Tuxtla Gutiérrez,Carlos Orsoe Morales Vázquez,MORENA,2018-2021
7,Chiapas,102,Tuzantán,Bany Obed Guzmán Ramos,PANAL,2018-2021
7,Chiapas,103,Tzimol,Eugenio de Jesús Jiménez López,Independiente,2018-2021
7,Chiapas,104,Unión Juárez,Doni Alan Verdugo Aguilar,MORENA,2018-2021
7,Chiapas,105,Venustiano Carranza,Amando Madain Trujillo Ancheyta,MORENA,2018-2021
7,Chiapas,106,Villa Comaltitlán,Daniela Estrada Choy,Chiapas Unido,2018-2021
7,Chiapas,107,Villa Corzo,Adier Nolasco Marina,MORENA,2018-2021
7,Chiapas,108,Villaflores,Mariano Guadalupe Rosales Zuart,PVEM,2018-2021
7,Chiapas,109,Yajalón,Juan Manuel Utrilla Constantino,PVEM,2018-2021
7,Chiapas,110,Zinacantán,Francisco de la Cruz Pérez,PRI,2018-2021
7,Chiapas,111,Aldama,Verónica Ruíz Pérez,PRI,2018-2021
7,Chiapas,112,Benemérito de las Américas,Juan Gómez Morales,PANAL,2018-2021
7,Chiapas,113,Maravilla Tenejapa,Iván Fernando Méndez Pérez,Chiapas Unido,2018-2021
7,Chiapas,114,Marqués de Comillas,Manuel Justo Gómez Beltrán,MORENA,2018-2021
7,Chiapas,115,Montecristo de Guerrero,Edelmira Nolasco Martínez,MORENA,2018-2021
7,Chiapas,116,San Andrés Duraznal,Josué Hernández Hernández,Chiapas Unido,2018-2021
7,Chiapas,117,Santiago el Pinar,Sebastiana Rodríguez Gómez,PT,2018-2021
7,Chiapas,118,Emiliano Zapata,Amador Moreno Ruíz,PVEM,2018-2021
7,Chiapas,119,Mezcalapa,Juan Alberto Sánchez Hernández,PRI,2018-2021
7,Chiapas,120,El Parral,Alber Molina Espinoza,Chiapas Unido,2018-2021
7,Chiapas,121,Capitán Luis A. Vidal,Emiselda González Roblero,PVEM,2018-2021
7,Chiapas,122,Rincón Chamula,Reynaldo Girón Bautista,MORENA,2018-2021
8,Chihuahua,,Ahumada,Juan de Dios Valle Camacho,PRD,2018-2021
8,Chihuahua,,Aldama,Miguel Rubio Castillo,PANAL,2018-2021
8,Chihuahua,,Allende,Blanca Jennyra Figueroa Chávez,PAN,2018-2021
8,Chihuahua,,Aquiles Serdán,Héctor Ariel Fernández Martínez,PRI,2018-2021
8,Chihuahua,,Ascensión,Laura Bernarda Romero García,PAN,2018-2021
8,Chihuahua,,Bachíniva,Viviana Altamirano Cárdenas,PAN,2018-2021
8,Chihuahua,,Balleza,Roberto Arturo Medina Aguirre,PRI,2018-2021
8,Chihuahua,,Batopilas,Israel Varela Ordóñez,PRI,2018-2021
8,Chihuahua,,Bocoyna,Héctor Edgardo Rotchín González,MC,2018-2021
8,Chihuahua,,Buenaventura,Miriam Caballero Arras3​,PRI,2018-2021
8,Chihuahua,,Camargo,Arturo Zubía Fernández,PAN,2018-2021
8,Chihuahua,,Carichí,Santos Cordero Rodelas,PAN,2018-2021
8,Chihuahua,,Casas Grandes,Yesenia Guadalupe Reyes Calzadias,PAN,2018-2021
8,Chihuahua,,Coronado,Refugio Soto Terrazas,PRI,2018-2021
8,Chihuahua,,Coyame del Sotol,Roberto Cervantes Ortega,PAN,2018-2021
8,Chihuahua,,La Cruz,Adolfo Trillo Herrera,PANAL,2018-2021
8,Chihuahua,,Cuauhtémoc,Carlos Tena Nevárez,MORENA,2018-2021
8,Chihuahua,,Cusihuiriachi,Abel Ordóñez García,PRI,2018-2021
8,Chihuahua,,Chihuahua,María Eugenia Campos Galván,PAN,2018-2021
8,Chihuahua,,Chínipas,Salomé Ramos Salmón,PRI,2018-2021
8,Chihuahua,,Delicias,Eliseo Compeán Fernández,PAN,2018-2021
8,Chihuahua,,Dr. Belisario Domínguez,Aron Loya Jáquez,PRI,2018-2021
8,Chihuahua,,Galeana,Ammon Dayer Lebaron Tracy,PAN,2018-2021
8,Chihuahua,,Santa Isabel,Fernando Ortega Balderrama,PAN,2018-2021
8,Chihuahua,,Gómez Farías,Blas Juan Godínez Ortega,MORENA,2018-2021
8,Chihuahua,,Gran Morelos,Gilberto Gutiérrez Montes,PVEM,2018-2021
8,Chihuahua,,Guachochi,Hugo Aguirre García,PRI,2018-2021
8,Chihuahua,,Guadalupe,Jaime Guerrero Guadián,PRI,2018-2021
8,Chihuahua,,Guadalupe y Calvo,Noel Chávez Velázquez,PRI,2018-2021
8,Chihuahua,,̣Guazapares,Joel Guillermo Bustillos Ramírez,PAN,2018-2021
8,Chihuahua,,Guerrero,Carlos Comadurán Amaya,MORENA,2018-2021
8,Chihuahua,,Hidalgo del Parral,Alfredo Lozoya Santillán,Independiente,2018-2021
8,Chihuahua,,Huejotitán,Flora Ruiz Corral,PRI,2018-2021
8,Chihuahua,,Ignacio Zaragoza,Lauro Orozco Gómez,MC,2018-2021
8,Chihuahua,,Janos,Sevastian Efraín Pineda Acedo,PAN,2018-2021
8,Chihuahua,,Jiménez,Marcos Chávez Torres,PANAL,2018-2021
8,Chihuahua,,Juárez,Héctor Armando Cabada Alvídrez,Independiente,2018-2021
8,Chihuahua,,Julimes,Angélica Luján Jiménez,PAN,2018-2021
8,Chihuahua,,López,Oscar Manuel Glaván Neri,PRI,2018-2021
8,Chihuahua,,Madera,Jaime Torres Amaya,PAN,2018-2021
8,Chihuahua,,Maguarichi,Pedro Ignacio Quezada Enríquez,PRI,2018-2021
8,Chihuahua,,Manuel Benavides,María de Jesús Villanueva Villa,PRI,2018-2021
8,Chihuahua,,Matachí,Lorena Vázquez Peñaloza,PRI,2018-2021
8,Chihuahua,,Matamoros,María de los Ángeles Gaucín Salas,PAN,2018-2021
8,Chihuahua,,Meoqui,Ismael Pérez Pavía,PAN,2018-2021
8,Chihuahua,,Morelos,Edgar César Venegas,PAN,2018-2021
8,Chihuahua,,Moris,Ramiro Rivera Hernández,PAN,2018-2021
8,Chihuahua,,Namiquipa,Oscar Barraza Robledo,PRI,2018-2021
8,Chihuahua,,Nonoava,José Héctor Caro Villalobos,PAN,2018-2021
8,Chihuahua,,Nuevo Casas Grandes,Héctor Mario Galaz Griego,PRD,2018-2021
8,Chihuahua,,Ocampo,Ana María Sáenz Campos,PRI,2018-2021
8,Chihuahua,,Ojinaga,Martín Sánchez Valles,PAN,2018-2021
8,Chihuahua,,Práxedis G. Guerrero,Ricardo Lozoya Buzo,PAN,2018-2021
8,Chihuahua,,Riva Palacio,Heriberto Palacios Portillo,PRI,2018-2021
8,Chihuahua,,Rosales,José Francisco Ramírez Licón,MORENA,2018-2021
8,Chihuahua,,Rosario,Lucrecia González Almanza,PAN,2018-2021
8,Chihuahua,,San Francisco de Borja,Francisco Tapia Manríquez,PAN,2018-2021
8,Chihuahua,,San Francisco de Conchos,Jaime Ramírez Carrasco,PRI,2018-2021
8,Chihuahua,,San Francisco del Oro,Felipe Terrazas Gutiérrez,PRD,2018-2021
8,Chihuahua,,Santa Bárbara,José Antonio Bilbao Martínez,PRI,2018-2021
8,Chihuahua,,Satevó,Adrián Durán Mendoza,PAN,2018-2021
8,Chihuahua,,Saucillo,Manuela Aidé López de Anda,PAN,2018-2021
8,Chihuahua,,Temósachi,Carlos Ignacio Beltrán Bencomo,PRD,2018-2021
8,Chihuahua,,El Tule,Javier Rodríguez Chávez,PAN,2018-2021
8,Chihuahua,,Urique,Mayra de Jesús Díaz Gutiérrez,PAN,2018-2021
8,Chihuahua,,Uruachi,Adriana Campos Rascón,PAN,2018-2021
8,Chihuahua,,Valle de Zaragoza,Yolanda Venzor Meléndez,PRD,2018-2021
9,Distrito Federal,,Álvaro Obregón,Layda Sansores San Román,MORENA,2018-2021
9,Distrito Federal,,Azcapotzalco,Vidal Llerenas Morales,MORENA,2018-2021
9,Distrito Federal,,Benito Juárez,Santiago Taboada Cortina,PAN,2018-2021
9,Distrito Federal,,Coyoacán,Manuel Negrete,PRD,2018-2021
9,Distrito Federal,,Cuajimalpa de Morelos,Adrián Rubalcaba Suárez,PRI,2018-2021
9,Distrito Federal,,Cuauhtémoc,Néstor Núñez,MORENA,2018-2021
9,Distrito Federal,,Gustavo A. Madero,Francisco Chiguil Figueroa,MORENA,2018-2021
9,Distrito Federal,,Iztacalco,Raúl Armando Quintero,MORENA,2018-2021
9,Distrito Federal,,Iztapalapa,Clara Brugada Molina,MORENA,2018-2021
9,Distrito Federal,,La Magdalena Contreras,Patricia Ortiz Couturier,MORENA,2018-2021
9,Distrito Federal,,Miguel Hidalgo,Víctor Hugo Romo Guerra,MORENA,2018-2021
9,Distrito Federal,,Milpa Alta,José Octavio Rivero Villaseñor,MC,2018-2021
9,Distrito Federal,,Tláhuac,Raymundo Martínez Vite,MORENA,2018-2021
9,Distrito Federal,,Tlalpan,Patricia Elena Aceves Pastrana,MORENA,2018-2021
9,Distrito Federal,,Venustiano Carranza,Julio César Moreno Rivera,PRD,2018-2021
9,Distrito Federal,,Xochimilco,José Carlos Acosta Ruiz,MORENA,2018-2021
10,Durango,,Canatlán,Dora Elena González Tremillo,PAN,2019-2022
10,Durango,,Canelas,Juan Carlos Ruiz Díaz,PAN,2019-2022
10,Durango,,Coneto,Martín Pineda Acosta,Partido Duranguense,2019-2022
10,Durango,,Cuencamé,María de Lourdes Martínez Espinosa,PRI,2019-2022
