ent,entidad,mun,NOM_MUN,presidente,partido,periodo
7,Chiapas,73,Las Rosas,Rodolfo Rigobertno Robles Díaz,Chiapas Unido,2018-2021
7,Chiapas,74,Sabanilla,Carlos Cleber González Cabello,Chiapas Unido,2018-2021
7,Chiapas,75,Salto de Agua,Román Mena de la Cruz,Chiapas Unido,2018-2021
7,Chiapas,76,San Cristóbal de las Casas,Jerónima Toledo Villalobos,MORENA,2018-2021
7,Chiapas,77,San Fernando,Juan Antonio Castillejos Castellanos,PVEM,2018-2021
7,Chiapas,78,San Juan Cancuc,José López López,PRI,2018-2021
7,Chiapas,79,San Lucas,Guadalupe Guzmán Villarreal,Chiapas Unido,2018-2021
7,Chiapas,80,Siltepec,Pedro Damián González Arriaga,PRI,2018-2021
7,Chiapas,81,Simojovel,Viridiana Hernández Sánchez,PVEM,2018-2021
7,Chiapas,82,Sitalá,Anita Velasco Santiz,Chiapas Unido,2018-2021
7,Chiapas,83,Socoltenango,Javier Mazariegos Guillén,PANAL,2018-2021
7,Chiapas,84,Solosuchiapa,Fernando Aparicio Trejo,PVEM,2018-2021
7,Chiapas,85,Soyaló,Samuel Ortiz López,Independiente,2018-2021
7,Chiapas,86,Suchiapa,Alexis Nucamendi Gómez,Chiapas Unido,2018-2021
7,Chiapas,87,Suchiate,María Eloína Hernández Aguilar,Chiapas Unido,2018-2021
7,Chiapas,88,Sunuapa,Eli Camas Castellanos,PAN,2018-2021
7,Chiapas,89,Tapachula,Oscar Gurría Penagos,MORENA,2018-2021
7,Chiapas,90,Tapalapa,Graciela Vázquez Vázquez,PRI,2018-2021
7,Chiapas,91,Tapilula,David García Urbina,Chiapas Unido,2018-2021
7,Chiapas,92,Tecpatán,Patricia Haydee Guzmán Arvizu,PRI,2018-2021
7,Chiapas,93,Tenejapa,Alfonso Intzin Girón,PVEM,2018-2021
7,Chiapas,94,Teopisca,Abel Tovilla Carpio,Chiapas Unido,2018-2021
7,Chiapas,95,Tila,Limber Gregoio Gutiérrez Gómez,PVEM,2018-2021
7,Chiapas,96,Tonalá,Manuel de Jesús Narcia Coutiño,PVEM,2018-2021
7,Chiapas,97,Totolapa,Johoni Leiver Fonseca López,PRD,2018-2021
7,Chiapas,98,La Trinitaria,Ervin Leonel Pérez Alfaro,PRI,2018-2021
7,Chiapas,99,Tumbalá,Porfirio Ramos Torres,Chiapas Unido,2018-2021
7,Chiapas,100,Tuxtla Chico,Deysi Lisbeth González Aguilar,MORENA,2018-2021
7,Chiapas,101,Tuxtla Gutiérrez,Carlos Orsoe Morales Vázquez,MORENA,2018-2021
7,Chiapas,102,Tuzantán,Bany Obed Guzmán Ramos,PANAL,2018-2021
7,Chiapas,103,Tzimol,Eugenio de Jesús Jiménez López,Independiente,2018-2021
7,Chiapas,104,Unión Juárez,Doni Alan Verdugo Aguilar,MORENA,2018-2021
7,Chiapas,105,Venustiano Carranza,Amando Madain Trujillo Ancheyta,MORENA,2018-2021
7,Chiapas,106,Villa Comaltitlán,Daniela Estrada Choy,Chiapas Unido,2018-2021
7,Chiapas,107,Villa Corzo,Adier Nolasco Marina,MORENA,2018-2021
7,Chiapas,108,Villaflores,Mariano Guadalupe Rosales Zuart,PVEM,2018-2021
7,Chiapas,109,Yajalón,Juan Manuel Utrilla Constantino,PVEM,2018-2021
7,Chiapas,110,Zinacantán,Francisco de la Cruz Pérez,PRI,2018-2021
7,Chiapas,111,Aldama,Verónica Ruíz Pérez,PRI,2018-2021
7,Chiapas,112,Benemérito de las Américas,Juan Gómez Morales,PANAL,2018-2021
7,Chiapas,113,Maravilla Tenejapa,Iván Fernando Méndez Pérez,Chiapas Unido,2018-2021
7,Chiapas,114,Marqués de Comillas,Manuel Justo Gómez Beltrán,MORENA,2018-2021
7,Chiapas,115,Montecristo de Guerrero,Edelmira Nolasco Martínez,MORENA,2018-2021
7,Chiapas,116,San Andrés Duraznal,Josué Hernández Hernández,Chiapas Unido,2018-2021
7,Chiapas,117,Santiago el Pinar,Sebastiana Rodríguez Gómez,PT,2018-2021
7,Chiapas,118,Emiliano Zapata,Amador Moreno Ruíz,PVEM,2018-2021
7,Chiapas,119,Mezcalapa,Juan Alberto Sánchez Hernández,PRI,2018-2021
7,Chiapas,120,El Parral,Alber Molina Espinoza,Chiapas Unido,2018-2021
7,Chiapas,121,Capitán Luis A. Vidal,Emiselda González Roblero,PVEM,2018-2021
7,Chiapas,122,Rincón Chamula,Reynaldo Girón Bautista,MORENA,2018-2021
