idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8508483;VIOLACION;VIOLACIÓN;2019-08-01 06:30:00;2019;Agosto;Femenino;12;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8508551;VIOLACION;VIOLACIÓN;2019-08-24 21:00:00;2019;Agosto;Femenino;15;FISICA;VICTIMA;FUERO COMUN;-99.2332028771792;19.289077614349;19.2890776143,-99.2332028772
8508552;VIOLACION;VIOLACIÓN;2019-08-28 06:45:00;2019;Agosto;Femenino;25;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8509665;VIOLACION;VIOLACIÓN;2003-01-01 03:00:00;2003;Enero;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1562706012263;19.458399698691;19.4583996987,-99.1562706012
8510570;VIOLACION;VIOLACIÓN;2019-08-28 18:00:00;2019;Agosto;Femenino;15;FISICA;VICTIMA;FUERO COMUN;-99.0895567213645;19.3594493056338;19.3594493056,-99.0895567214
8510737;VIOLACION;VIOLACIÓN;2019-08-29 12:00:00;2019;Agosto;Femenino;13;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8322471;VIOLACION;VIOLACIÓN;2019-01-01 07:40:00;2019;Enero;Femenino;16;FISICA;VICTIMA;FUERO COMUN;-99.2376288025549;19.3725357006145;19.3725357006,-99.2376288026
8322698;VIOLACION;VIOLACIÓN;2018-01-01 20:30:00;2018;Enero;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8322731;VIOLACION;VIOLACIÓN;2019-01-01 21:30:00;2019;Enero;Femenino;14;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8322739;VIOLACION;VIOLACIÓN;2019-01-02 02:40:00;2019;Enero;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1970282018938;19.4527706955391;19.4527706955,-99.1970282019
8323132;VIOLACION;VIOLACIÓN;2018-12-26 02:00:00;2018;Diciembre;Femenino;24;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2473801033942;19.3606133987259;19.3606133987,-99.2473801034
8323538;VIOLACION;VIOLACIÓN;2018-12-14 20:00:00;2018;Diciembre;Femenino;38;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1725604887607;19.2535067817494;19.2535067817,-99.1725604888
8324231;VIOLACION;VIOLACIÓN;2019-01-03 21:50:00;2019;Enero;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1589972006303;19.2962000013722;19.2962000014,-99.1589972006
8325309;VIOLACION;VIOLACIÓN;2019-01-04 20:30:00;2019;Enero;Femenino;12;FISICA;VICTIMA;INCOMPETENCIAS;NA;NA;
