idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8438275;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-26 23:30:00;2019;Mayo;Femenino;57;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1121593465225;19.420873601346;19.4208736013,-99.1121593465
8438321;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-14 19:30:00;2019;Mayo;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0803577637633;19.312264873153;19.3122648732,-99.0803577638
8438351;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-28 19:20:00;2019;Mayo;Masculino;64;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1383398359699;19.4547088893662;19.4547088894,-99.138339836
8438405;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-27 22:30:00;2019;Mayo;Masculino;34;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2281015026289;19.3159286020408;19.315928602,-99.2281015026
8438435;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-27 15:00:00;2019;Mayo;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1495696008697;19.4362493015345;19.4362493015,-99.1495696009
8438474;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-27 20:45:00;2019;Mayo;Masculino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.174838991897;19.4803097883844;19.4803097884,-99.1748389919
8438536;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-28 23:50:00;2019;Mayo;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0710849002511;19.3608766022673;19.3608766023,-99.0710849003
8438604;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 07:30:00;2019;Mayo;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0663717908465;19.3194050664495;19.3194050664,-99.0663717908
8438666;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 08:30:00;2019;Mayo;Masculino;23;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0886235754075;19.3948786324499;19.3948786324,-99.0886235754
8438675;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-24 10:30:00;2019;Mayo;Masculino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-98.9958926764183;19.2171147279341;19.2171147279,-98.9958926764
8438684;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-21 10:30:00;2019;Mayo;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1032260302785;19.3559413098093;19.3559413098,-99.1032260303
8438690;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 10:40:00;2019;Mayo;Femenino;44;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1389934144188;19.4358355073166;19.4358355073,-99.1389934144
8438821;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-29 07:30:00;2019;Mayo;Masculino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0804355814114;19.4671917512187;19.4671917512,-99.0804355814
8439070;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-05-24 21:30:00;2019;Mayo;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1904045728638;19.3984115355092;19.3984115355,-99.1904045729
